DateKey,reservation_status_date,arrival_date_month,Day,Week,Month,Quarter,Year
1,2014-10-17,September,17,42,10,4,2014
2,2014-10-17,July,17,42,10,4,2014
3,2014-10-17,August,17,42,10,4,2014
4,2014-11-18,September,18,47,11,4,2014
5,2015-01-01,December,1,1,1,1,2015
6,2015-01-01,August,1,1,1,1,2015
7,2015-01-01,October,1,1,1,1,2015
8,2015-01-01,July,1,1,1,1,2015
9,2015-01-01,September,1,1,1,1,2015
10,2015-01-02,October,2,1,1,1,2015
11,2015-01-02,September,2,1,1,1,2015
12,2015-01-18,September,18,3,1,1,2015
13,2015-01-20,July,20,4,1,1,2015
14,2015-01-21,September,21,4,1,1,2015
15,2015-01-22,September,22,4,1,1,2015
16,2015-01-22,August,22,4,1,1,2015
17,2015-01-28,August,28,5,1,1,2015
18,2015-01-29,August,29,5,1,1,2015
19,2015-01-30,October,30,5,1,1,2015
20,2015-02-02,September,2,6,2,1,2015
21,2015-02-05,July,5,6,2,1,2015
22,2015-02-05,August,5,6,2,1,2015
23,2015-02-06,August,6,6,2,1,2015
24,2015-02-09,August,9,7,2,1,2015
25,2015-02-10,August,10,7,2,1,2015
26,2015-02-11,August,11,7,2,1,2015
27,2015-02-11,September,11,7,2,1,2015
28,2015-02-11,July,11,7,2,1,2015
29,2015-02-12,August,12,7,2,1,2015
30,2015-02-17,July,17,8,2,1,2015
31,2015-02-19,October,19,8,2,1,2015
32,2015-02-20,September,20,8,2,1,2015
33,2015-02-23,July,23,9,2,1,2015
34,2015-02-23,September,23,9,2,1,2015
35,2015-02-24,August,24,9,2,1,2015
36,2015-02-25,August,25,9,2,1,2015
37,2015-02-25,July,25,9,2,1,2015
38,2015-02-26,July,26,9,2,1,2015
39,2015-02-27,September,27,9,2,1,2015
40,2015-03-03,September,3,10,3,1,2015
41,2015-03-03,July,3,10,3,1,2015
42,2015-03-03,August,3,10,3,1,2015
43,2015-03-04,November,4,10,3,1,2015
44,2015-03-04,July,4,10,3,1,2015
45,2015-03-05,July,5,10,3,1,2015
46,2015-03-06,November,6,10,3,1,2015
47,2015-03-06,July,6,10,3,1,2015
48,2015-03-09,July,9,11,3,1,2015
49,2015-03-10,August,10,11,3,1,2015
50,2015-03-11,July,11,11,3,1,2015
