HotelKey,reservation_status_date,hotel,country
1,2014-10-17,City Hotel,PRT
2,2014-11-18,Resort Hotel,PRT
3,2015-01-01,City Hotel,PRT
4,2015-01-01,Resort Hotel,PRT
5,2015-01-02,Resort Hotel,PRT
6,2015-01-18,Resort Hotel,PRT
7,2015-01-20,City Hotel,PRT
8,2015-01-21,Resort Hotel,GBR
9,2015-01-21,Resort Hotel,PRT
10,2015-01-22,Resort Hotel,PRT
11,2015-01-28,Resort Hotel,PRT
12,2015-01-29,Resort Hotel,PRT
13,2015-01-30,Resort Hotel,PRT
14,2015-01-30,City Hotel,PRT
15,2015-02-02,Resort Hotel,PRT
16,2015-02-05,Resort Hotel,PRT
17,2015-02-06,Resort Hotel,PRT
18,2015-02-09,Resort Hotel,PRT
19,2015-02-10,Resort Hotel,PRT
20,2015-02-11,Resort Hotel,PRT
21,2015-02-12,Resort Hotel,PRT
22,2015-02-17,City Hotel,PRT
23,2015-02-19,Resort Hotel,PRT
24,2015-02-20,City Hotel,PRT
25,2015-02-20,Resort Hotel,PRT
26,2015-02-23,City Hotel,PRT
27,2015-02-23,Resort Hotel,PRT
28,2015-02-24,Resort Hotel,PRT
29,2015-02-25,Resort Hotel,PRT
30,2015-02-26,Resort Hotel,PRT
31,2015-02-27,Resort Hotel,PRT
32,2015-03-03,City Hotel,PRT
33,2015-03-03,Resort Hotel,PRT
34,2015-03-04,Resort Hotel,PRT
35,2015-03-05,Resort Hotel,PRT
36,2015-03-06,Resort Hotel,PRT
37,2015-03-09,City Hotel,PRT
38,2015-03-09,Resort Hotel,PRT
39,2015-03-10,City Hotel,PRT
40,2015-03-11,Resort Hotel,PRT
41,2015-03-12,Resort Hotel,PRT
42,2015-03-13,City Hotel,PRT
43,2015-03-17,Resort Hotel,PRT
44,2015-03-18,Resort Hotel,PRT
45,2015-03-23,City Hotel,PRT
46,2015-03-24,Resort Hotel,PRT
47,2015-03-25,City Hotel,PRT
48,2015-03-25,Resort Hotel,PRT
49,2015-03-28,Resort Hotel,PRT
50,2015-03-29,City Hotel,PRT
51,2015-03-30,Resort Hotel,PRT
52,2015-03-31,Resort Hotel,PRT
53,2015-04-02,Resort Hotel,BEL
54,2015-04-02,City Hotel,PRT
55,2015-04-02,City Hotel,DEU
56,2015-04-03,Resort Hotel,PRT
57,2015-04-04,Resort Hotel,PRT
58,2015-04-04,City Hotel,PRT
59,2015-04-05,City Hotel,PRT
60,2015-04-06,Resort Hotel,PRT
61,2015-04-06,City Hotel,PRT
62,2015-04-07,Resort Hotel,PRT
63,2015-04-08,Resort Hotel,PRT
64,2015-04-08,City Hotel,PRT
65,2015-04-10,Resort Hotel,PRT
66,2015-04-11,City Hotel,PRT
