StatusKey,reservation_status_date,is_canceled,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,days_in_waiting_list,reservation_status,stays_in_weekend_nights,stays_in_week_nights
1,2014-10-17,1,1,1,0,0,Canceled,0,2
2,2014-10-17,1,1,21,0,0,Canceled,0,2
3,2014-10-17,1,1,2,0,0,Canceled,0,2
4,2014-11-18,1,0,0,0,0,Canceled,1,3
5,2015-01-01,1,0,0,0,0,Canceled,4,10
6,2015-01-01,1,1,1,0,0,Canceled,2,5
7,2015-01-01,1,0,1,0,0,Canceled,0,1
8,2015-01-01,1,0,1,0,0,Canceled,2,1
9,2015-01-01,1,0,1,0,0,Canceled,1,1
10,2015-01-01,1,0,1,0,0,Canceled,0,2
11,2015-01-01,1,1,2,0,0,Canceled,0,2
12,2015-01-02,1,0,0,0,0,Canceled,2,5
13,2015-01-02,1,0,0,0,0,Canceled,0,3
14,2015-01-02,1,0,0,0,0,Canceled,1,3
15,2015-01-02,1,0,0,0,0,Canceled,2,0
16,2015-01-18,1,0,0,0,0,Canceled,1,2
17,2015-01-20,1,0,1,0,0,Canceled,2,3
18,2015-01-21,1,0,1,0,0,Canceled,8,20
19,2015-01-21,1,0,1,0,0,Canceled,0,3
20,2015-01-22,1,0,0,0,0,Canceled,0,3
21,2015-01-22,1,0,2,0,0,Canceled,0,5
22,2015-01-22,1,0,1,0,0,Canceled,2,4
23,2015-01-28,1,0,1,0,0,Canceled,2,5
24,2015-01-29,1,1,1,0,0,Canceled,0,5
25,2015-01-30,1,0,26,0,0,Canceled,2,0
26,2015-01-30,1,0,1,0,0,Canceled,2,0
27,2015-01-30,1,0,1,0,0,Canceled,1,1
28,2015-02-02,1,0,1,0,0,Canceled,0,5
29,2015-02-05,1,0,1,0,0,Canceled,0,5
30,2015-02-05,1,0,1,0,0,Canceled,0,2
31,2015-02-05,1,0,1,0,0,Canceled,2,4
32,2015-02-05,1,0,1,0,0,Canceled,2,6
33,2015-02-06,1,0,1,0,0,Canceled,0,3
34,2015-02-09,1,0,1,0,0,Canceled,2,5
35,2015-02-10,1,0,1,0,0,Canceled,2,5
36,2015-02-10,1,0,1,0,0,Canceled,1,5
37,2015-02-11,1,0,2,0,0,Canceled,2,6
38,2015-02-11,1,0,1,0,0,Canceled,4,9
39,2015-02-11,1,1,1,0,0,Canceled,2,8
40,2015-02-12,1,0,1,0,0,Canceled,2,5
41,2015-02-17,1,0,1,0,0,Canceled,0,2
42,2015-02-19,1,0,1,0,0,Canceled,1,5
43,2015-02-20,1,0,1,0,0,Canceled,2,5
44,2015-02-20,1,0,1,0,0,Canceled,2,3
45,2015-02-23,1,0,1,0,0,Canceled,1,1
46,2015-02-23,1,0,1,0,0,Canceled,0,2
47,2015-02-24,1,1,1,0,0,Canceled,2,5
48,2015-02-25,1,0,1,0,0,Canceled,3,10
49,2015-02-25,1,0,1,0,0,Canceled,2,5
50,2015-02-26,1,1,1,0,0,Canceled,2,5
51,2015-02-27,1,0,1,0,0,Canceled,1,3
