OrderDateKey,Order Date
1,2009-01-01
2,2009-01-01
3,2009-01-02
4,2009-01-02
5,2009-01-02
6,2009-01-02
7,2009-01-02
8,2009-01-02
9,2009-01-03
10,2009-01-03
11,2009-01-03
12,2009-01-03
13,2009-01-03
14,2009-01-03
15,2009-01-03
16,2009-01-03
17,2009-01-03
18,2009-01-03
19,2009-01-04
20,2009-01-04
21,2009-01-04
22,2009-01-05
23,2009-01-05
24,2009-01-05
25,2009-01-05
26,2009-01-05
27,2009-01-05
28,2009-01-05
29,2009-01-05
30,2009-01-05
31,2009-01-05
32,2009-01-05
33,2009-01-05
34,2009-01-05
35,2009-01-05
36,2009-01-05
37,2009-01-06
38,2009-01-06
39,2009-01-06
40,2009-01-06
41,2009-01-06
42,2009-01-06
43,2009-01-06
44,2009-01-06
45,2009-01-06
46,2009-01-06
47,2009-01-06
48,2009-01-06
49,2009-01-06
50,2009-01-07
51,2009-01-07
52,2009-01-07
53,2009-01-07
54,2009-01-07
55,2009-01-07
56,2009-01-07
57,2009-01-07
58,2009-01-07
59,2009-01-08
60,2009-01-08
61,2009-01-08
62,2009-01-08
63,2009-01-09
64,2009-01-09
65,2009-01-09
66,2009-01-09
67,2009-01-09
68,2009-01-09
69,2009-01-09
70,2009-01-09
71,2009-01-10
72,2009-01-10
73,2009-01-10
74,2009-01-10
75,2009-01-10
76,2009-01-10
77,2009-01-10
78,2009-01-10
79,2009-01-10
80,2009-01-10
81,2009-01-10
82,2009-01-10
83,2009-01-11
84,2009-01-11
85,2009-01-11
86,2009-01-11
87,2009-01-11
88,2009-01-11
89,2009-01-11
90,2009-01-12
91,2009-01-12
92,2009-01-12
93,2009-01-12
94,2009-01-12
95,2009-01-12
96,2009-01-12
97,2009-01-12
98,2009-01-13
99,2009-01-13
100,2009-01-13
101,2009-01-13
102,2009-01-14
103,2009-01-14
104,2009-01-14
105,2009-01-14
106,2009-01-14
107,2009-01-14
108,2009-01-14
109,2009-01-14
110,2009-01-14
111,2009-01-14
112,2009-01-14
113,2009-01-14
114,2009-01-15
115,2009-01-15
116,2009-01-15
117,2009-01-15
118,2009-01-15
119,2009-01-15
120,2009-01-16
121,2009-01-16
122,2009-01-16
123,2009-01-16
124,2009-01-16
125,2009-01-16
126,2009-01-16
127,2009-01-16
128,2009-01-16
129,2009-01-16
130,2009-01-17
131,2009-01-17
132,2009-01-17
133,2009-01-17
134,2009-01-17
135,2009-01-17
136,2009-01-17
137,2009-01-17
138,2009-01-17
139,2009-01-17
140,2009-01-17
141,2009-01-17
142,2009-01-18
143,2009-01-18
144,2009-01-18
145,2009-01-18
146,2009-01-18
147,2009-01-18
148,2009-01-18
149,2009-01-19
150,2009-01-19
151,2009-01-19
152,2009-01-19
153,2009-01-20
154,2009-01-20
155,2009-01-21
156,2009-01-21
157,2009-01-21
158,2009-01-21
159,2009-01-21
160,2009-01-21
161,2009-01-21
162,2009-01-21
163,2009-01-21
164,2009-01-21
165,2009-01-21
166,2009-01-21
167,2009-01-21
168,2009-01-21
169,2009-01-22
170,2009-01-22
171,2009-01-22
172,2009-01-22
173,2009-01-22
174,2009-01-22
175,2009-01-22
176,2009-01-22
177,2009-01-22
178,2009-01-22
179,2009-01-23
180,2009-01-23
181,2009-01-23
182,2009-01-24
183,2009-01-24
184,2009-01-24
185,2009-01-24
186,2009-01-24
187,2009-01-25
188,2009-01-25
189,2009-01-26
190,2009-01-26
191,2009-01-26
192,2009-01-26
193,2009-01-26
194,2009-01-26
195,2009-01-26
196,2009-01-26
197,2009-01-26
198,2009-01-27
199,2009-01-27
200,2009-01-27
201,2009-01-27
202,2009-01-27
203,2009-01-28
204,2009-01-28
205,2009-01-28
206,2009-01-28
207,2009-01-28
208,2009-01-28
209,2009-01-29
210,2009-01-29
211,2009-01-29
212,2009-01-30
213,2009-01-30
214,2009-01-30
215,2009-01-31
216,2009-01-31
217,2009-01-31
218,2009-01-31
219,2009-01-31
220,2009-01-31
221,2009-01-31
222,2009-01-31
223,2009-01-31
224,2009-02-01
225,2009-02-01
226,2009-02-01
227,2009-02-02
228,2009-02-02
229,2009-02-02
230,2009-02-02
231,2009-02-02
232,2009-02-02
233,2009-02-03
234,2009-02-03
235,2009-02-04
236,2009-02-04
237,2009-02-04
238,2009-02-04
239,2009-02-04
240,2009-02-04
241,2009-02-04
242,2009-02-04
243,2009-02-04
244,2009-02-04
245,2009-02-04
246,2009-02-04
247,2009-02-04
248,2009-02-04
249,2009-02-04
250,2009-02-04
251,2009-02-05
252,2009-02-05
253,2009-02-05
254,2009-02-05
255,2009-02-05
256,2009-02-05
257,2009-02-05
258,2009-02-06
259,2009-02-06
260,2009-02-06
261,2009-02-06
262,2009-02-06
263,2009-02-06
264,2009-02-07
265,2009-02-07
266,2009-02-07
267,2009-02-07
268,2009-02-07
269,2009-02-08
270,2009-02-08
271,2009-02-08
272,2009-02-08
273,2009-02-09
274,2009-02-10
275,2009-02-10
276,2009-02-10
277,2009-02-10
278,2009-02-10
279,2009-02-11
280,2009-02-11
281,2009-02-11
282,2009-02-11
283,2009-02-11
284,2009-02-12
285,2009-02-12
286,2009-02-12
287,2009-02-12
288,2009-02-12
289,2009-02-12
290,2009-02-12
291,2009-02-12
