S.No.,Order Date,Order Quantity,Sales
1,10/13/2010,6,261.54
2,10/01/2012,49,10123.02
3,10/01/2012,27,244.57
4,07/10/2011,30,4965.7595
5,8/28/2010,19,394.27
6,8/28/2010,21,146.69
7,6/17/2011,12,93.54
8,6/17/2011,22,905.08
9,3/24/2011,21,2781.82
10,2/26/2010,44,228.41
11,11/23/2010,45,196.85
12,11/23/2010,32,124.56
13,06/08/2012,32,716.84
14,06/08/2012,31,1474.33
15,08/04/2012,15,80.61
16,5/30/2011,46,1815.49
17,11/25/2009,16,248.26
18,2/14/2012,44,4462.23
19,2/14/2012,11,663.784
20,4/15/2012,15,834.904
21,4/15/2012,18,2480.9205
22,03/12/2010,13,59.03
23,03/12/2010,21,97.48
24,03/09/2011,33,511.83
25,03/09/2011,38,184.99
26,08/04/2012,30,80.9
27,05/06/2011,23,67.24
28,12/23/2010,25,12028.23
29,11/08/2010,28,370.48
30,10/21/2012,49,278
31,01/01/2011,10,66.54
32,01/01/2011,21,845.32
33,10/10/2011,39,282.07
34,10/10/2011,24,426.037
35,9/23/2010,27,1078.49
36,7/19/2011,39,3554.46
37,10/09/2009,47,191.67
38,10/09/2009,49,5586.33
39,10/09/2009,18,507.64
40,12/09/2010,30,14223.82
41,10/08/2012,5,42.66
42,05/02/2012,21,427.32
43,03/08/2010,8,820.284
44,5/28/2011,5,14.76
45,9/19/2010,9,89.55
46,8/31/2011,11,1210.0515
47,8/31/2011,50,187.83
48,8/31/2011,3,49.59
49,8/31/2011,30,4253.009
50,07/08/2011,7,59.38
51,1/30/2009,42,1285.37
52,01/08/2012,11,48.91
53,11/07/2010,22,129.62
54,4/29/2010,12,118.97
55,12/31/2011,8,61.8715
56,08/12/2009,7,384.33
57,08/12/2009,3,239.03
58,11/12/2011,44,3922.42
59,11/12/2011,25,1733.3625
60,1/20/2012,19,208.28
61,3/20/2009,6,9620.82
62,7/21/2012,40,255.48
63,7/21/2012,18,130.32
64,06/12/2012,11,312.36
65,1/15/2009,41,217
66,1/15/2009,47,296.13
67,06/04/2010,40,436.17
68,2/18/2010,18,136.29
69,11/16/2011,32,1311.25
70,11/16/2011,5,544.41
71,11/16/2011,41,844.09
72,08/07/2011,22,6396.2
73,06/08/2010,50,751.77
74,10/17/2009,37,1003.06
75,8/28/2011,4,1266.72
76,9/29/2011,19,368.04
77,9/29/2011,24,152.6
78,05/04/2012,40,3338.98
79,5/17/2011,5,24.16
80,5/17/2011,41,270.84
81,5/17/2011,35,3389.93
82,5/17/2011,42,266.36
83,5/17/2011,46,89.41
84,11/17/2009,47,2799.7
85,10/10/2011,7,2039.56
86,10/07/2012,36,12175.82
87,10/07/2012,5,101.21
88,10/07/2012,32,1585.64
89,8/13/2011,44,176.26
90,8/16/2011,32,4655.07
91,8/16/2011,44,10087.6
92,8/16/2011,34,1608.08
93,03/04/2009,1,12.18
94,8/18/2009,50,820.52
95,11/16/2010,29,6250.936
96,5/27/2011,25,854.88
97,5/27/2011,46,80.27
98,8/23/2010,15,308.54
99,8/19/2011,20,400.57
100,01/03/2012,14,1170.025
101,11/29/2012,48,5188.86
102,3/17/2012,8,339.81
103,04/12/2010,15,1519.9
104,8/24/2010,30,102.24
105,07/04/2011,6,965.69
106,11/10/2010,25,397.84
107,6/24/2010,4,73.07
108,6/24/2010,26,4679.1
109,9/19/2012,46,8009.5925
110,9/19/2012,23,4689.66
111,12/24/2011,25,3019.41
112,3/23/2012,5,36.86
113,10/15/2011,12,22079.47
114,08/07/2010,24,5407.31
115,03/03/2009,34,74.3
116,02/09/2010,44,21506.77
117,02/09/2010,28,669.02
118,1/17/2009,40,1143.49
119,1/17/2009,46,78.08
120,8/30/2010,19,5297.47
121,8/30/2010,20,95.3
122,09/11/2009,40,460.68
123,09/11/2009,49,318.7585
124,7/16/2009,47,1020.61
125,11/15/2012,44,268.34
126,09/10/2011,6,209
127,04/10/2011,30,501.32
128,04/10/2011,23,275.16
129,04/10/2011,37,1302.99
130,10/09/2011,1,40.1
131,10/09/2011,42,1414.05
132,10/23/2012,34,5350.61
133,01/08/2012,15,310.87
134,1/25/2010,48,9062.73
135,1/25/2010,27,1584.1
136,1/27/2011,42,283.58
137,1/27/2011,39,5403.37
138,1/27/2011,35,82.15
139,8/27/2009,50,2066.16
140,3/17/2011,18,4605.36
141,3/17/2011,42,1753.51
142,06/06/2012,31,426.34
143,04/11/2011,36,1837.44
144,04/11/2011,36,3722.29
145,04/11/2011,4,28.05
146,11/06/2012,32,311.44
147,11/06/2012,17,215.65
148,5/16/2012,3,121.12
149,04/09/2012,8,300.2
150,04/09/2012,29,1364.8025
151,08/05/2012,19,128.21
152,7/22/2009,9,252.79
153,05/09/2010,10,50.97
154,05/09/2010,1,4.99
155,2/18/2009,30,10554.63
156,2/18/2009,8,1749.64
157,6/27/2012,47,1943.72
158,6/27/2012,6,18.37
159,6/27/2012,49,6175.777
160,9/30/2010,6,157.97
161,4/15/2010,25,144.84
162,4/15/2010,20,127.16
163,9/14/2011,4,5472.12
164,9/21/2010,7,1810.67
165,8/17/2010,31,633.56
166,9/16/2009,27,644.4
167,6/22/2009,7,1211.98
168,8/28/2012,27,3316.08
169,06/07/2011,48,207.08
170,06/07/2011,8,234.28
171,06/07/2011,41,1779.8915
172,10/09/2009,30,114.12
173,10/09/2009,15,436.05
174,10/09/2009,49,5247.4835
175,12/05/2010,9,173.417
176,06/07/2009,18,23792.93
177,7/27/2009,21,256.12
178,09/05/2011,30,387
179,01/11/2009,31,1143.45
180,8/15/2010,2,42.31
181,8/15/2010,11,152.67
182,08/05/2009,49,82.61
183,9/17/2011,31,789.94
184,10/22/2011,42,435.24
185,11/14/2009,8,473.7
186,11/14/2009,33,553.5625
187,07/03/2010,32,54.78
188,07/03/2010,47,304.83
189,1/30/2009,31,16066.85
190,3/15/2012,17,618.9
191,08/10/2009,35,1665.0395
192,04/01/2010,21,1049.79
193,04/01/2010,16,817.18
194,7/31/2010,49,465.83
195,5/29/2009,13,241.706
196,10/11/2010,44,275.91
197,5/18/2010,2,30.83
198,02/08/2011,13,121.66
199,12/07/2010,16,108.42
200,12/07/2010,27,78.47
201,01/06/2009,30,26133.39
202,03/12/2012,14,2671.21
203,8/26/2010,26,531.66
204,8/26/2010,28,317.85
205,8/26/2010,42,163.08
206,6/20/2011,38,103.07
207,08/04/2010,1,17.19
208,08/04/2010,27,2689.48
209,08/04/2010,2,15.31
210,11/23/2010,13,270.63
211,11/23/2010,43,6583.913
212,08/02/2009,24,4865.72
213,08/10/2011,23,1003.31
214,08/10/2011,17,6048.18
215,05/06/2010,41,3051.27
216,6/28/2012,47,9633.59
217,6/28/2012,26,3758.77
218,3/23/2011,6,143.78
219,11/19/2011,22,440.92
220,11/26/2012,3,4343.51
221,7/29/2010,29,593.32
222,7/29/2010,26,626.07
223,05/12/2012,24,557.23
224,03/03/2012,7,261.88
225,03/03/2012,15,593.73
226,8/20/2010,49,120.77
227,6/27/2010,22,795.74
228,6/27/2010,31,251.75
229,10/29/2012,36,697.41
230,1/16/2010,30,4684.9
231,6/29/2012,6,905.94
232,08/08/2011,12,270.23
233,08/08/2011,20,660.27
234,2/21/2010,11,32.4
235,6/20/2011,26,4688.9485
236,09/04/2009,8,50.7
237,09/04/2009,10,90.06
238,09/04/2009,22,338.52
239,09/04/2009,48,6109.817
240,6/21/2009,1,34.11
241,02/08/2012,48,538.22
242,03/11/2009,11,1064.23
243,03/11/2009,18,3497.05
244,03/11/2009,44,774.0525
245,06/04/2011,3,74.05
246,03/02/2012,37,5753.85
247,08/12/2011,48,18235.47
248,08/12/2011,16,2631.107
249,09/01/2009,32,209.42
250,1/26/2010,32,324.4
251,1/26/2010,19,137.02
252,09/02/2011,1,232.67
253,09/02/2011,34,4805.92
254,02/07/2012,1,62.26
255,02/07/2012,47,58.53
256,3/19/2011,31,157.79
257,05/08/2011,19,376.21
258,9/25/2009,37,1601.24
259,9/25/2009,40,501.31
260,07/09/2012,2,24.96
261,1/14/2010,31,166.76
262,8/26/2009,2,811.13
263,10/08/2009,15,822.8425
264,11/10/2011,35,3310.9455
265,4/15/2012,10,55.02
266,01/02/2012,10,192.58
267,03/08/2011,40,291.67
268,07/02/2009,50,281.39
269,07/02/2009,49,12593.91
270,4/15/2011,22,6123.94
271,11/25/2011,49,19325.2
272,11/25/2011,48,8380.22
273,4/25/2012,11,35.17
274,3/26/2011,35,17387.65
275,3/26/2011,44,6040.22
276,7/14/2010,17,691.59
277,7/14/2010,45,345.2
278,10/23/2010,36,1955.0765
279,8/24/2009,27,217.93
280,06/09/2011,6,254.76
281,11/23/2012,21,6806.66
282,11/23/2012,3,891.61
283,11/23/2012,5,165.04
284,05/01/2009,2,789.01
285,05/11/2012,4,97.57
286,05/11/2012,31,110.32
287,10/15/2010,26,321.68
288,10/15/2010,34,971.95
289,10/15/2010,23,2149.03
290,7/23/2011,12,3671.3
291,7/23/2011,42,1763.6
292,07/11/2011,14,403.17
293,9/16/2012,15,89.97
294,9/16/2012,28,456.91
295,1/16/2009,46,249.02
296,1/16/2009,41,78.49
297,10/20/2010,4,40.72
298,10/20/2010,27,113.3
299,8/30/2010,8,1219.19
300,8/30/2010,15,28.68
301,05/07/2010,19,3548.67
302,6/21/2011,8,178.78
303,11/24/2010,41,6045.98
304,4/27/2012,3,56.695
305,8/28/2012,24,1350.531
306,7/31/2011,20,100.4
307,7/31/2011,19,327.15
308,10/06/2012,11,30.51
309,10/06/2012,8,127.8
310,02/06/2010,4,242.36
311,02/06/2010,25,802.19
312,02/06/2010,4,63.52
313,10/17/2011,13,371.94
314,8/20/2009,31,349.43
315,8/20/2009,3,58.33
316,8/20/2009,47,10377.22
317,6/14/2010,14,140.66
318,6/14/2010,5,42.89
319,6/14/2010,48,226.5
320,6/14/2010,13,438.93
321,2/27/2010,31,15251.5
322,8/15/2009,13,34.42
323,8/15/2009,26,172.76
324,8/15/2009,50,853.162
325,5/14/2011,6,35.65
326,10/07/2010,49,199.86
327,10/07/2010,18,1888.02
328,10/07/2010,27,322.69
329,10/23/2009,5,22.06
330,10/23/2009,19,12616.2
331,06/09/2010,31,148.17
332,01/10/2011,39,217.25
333,01/10/2011,28,5993.74
334,1/30/2009,23,361.65
335,3/28/2011,45,1038.82
336,3/28/2011,47,564.39
337,11/22/2010,6,826.9735
338,5/30/2011,33,999.226
339,5/13/2012,24,2298.32
340,06/08/2010,24,1168.15
341,11/29/2009,47,181.78
342,09/01/2012,46,1184.32
343,2/26/2010,3,71.94
344,2/26/2010,10,550.61
345,2/26/2010,18,1373.11
346,5/21/2012,32,368.18
347,11/08/2009,16,224.47
348,8/27/2010,1,104.85
349,8/17/2012,47,256
350,8/17/2012,20,6067.76
351,11/09/2012,29,2754.93
352,11/09/2012,15,19417.55
353,06/02/2011,40,4842.21
354,08/10/2011,31,615.58
355,08/10/2011,41,8387.1
356,08/10/2011,6,126.02
357,08/10/2011,30,68.14
358,2/27/2009,14,71.47
359,06/07/2010,10,568.3355
360,2/17/2012,38,2157.3085
361,2/23/2012,26,1363
362,2/23/2012,36,4698.5
363,2/23/2012,16,347.47
364,10/15/2009,23,1404.22
365,3/13/2009,3,17.52
366,03/12/2010,36,4273.8
367,07/07/2009,25,192.18
368,11/21/2012,22,483.96
369,11/21/2012,10,308.363
370,11/21/2012,26,1911.4035
371,03/02/2009,29,862.2
372,9/22/2011,7,120.03
373,7/21/2011,1,18.92
374,7/13/2009,45,237.28
375,3/29/2010,5,324.55
376,3/29/2010,31,8901.78
377,02/06/2010,15,1062.959
378,09/12/2012,35,7468.86
379,12/22/2010,12,710.328
380,5/30/2009,4,3510.82
381,12/21/2012,19,281.84
382,12/21/2012,25,509.52
383,12/21/2012,10,97.02
384,2/14/2012,32,225.16
385,07/03/2010,20,205.33
386,5/16/2011,17,1368.14
387,03/07/2010,42,2475.83
388,4/27/2009,40,2205.7585
389,04/07/2012,21,524.2
390,12/31/2010,39,6553.45
391,02/02/2010,45,497.14
392,02/02/2010,21,917.39
393,4/15/2012,19,110.67
394,4/15/2012,20,1163.123
395,5/19/2010,48,224.58
396,5/19/2010,34,365.77
397,5/19/2010,34,16073.03
398,7/27/2009,15,30.68
399,3/31/2009,1,54.077
400,06/11/2012,27,899.97
401,09/01/2010,40,6789.9275
402,08/09/2012,5,748.29
403,05/07/2010,37,2522.21
404,05/07/2010,28,4181.82
405,8/25/2011,39,680.8585
406,9/21/2010,20,759.84
407,9/21/2010,19,147.39
408,6/30/2012,5,294
409,1/17/2011,34,216.3
410,10/10/2010,12,31.6
411,06/09/2011,43,154.18
412,06/09/2011,18,110.31
413,06/09/2011,41,137.51
414,6/26/2012,27,302.2
415,3/16/2010,46,399.58
416,11/13/2010,8,52.39
417,11/14/2009,12,61.09
418,11/14/2009,48,777.76
419,09/12/2011,4,108.87
420,11/23/2009,48,10051.52
421,07/10/2010,1,97.13
422,03/06/2009,26,1523.5
423,2/17/2011,5,756.15
424,2/17/2011,1,18.15
425,11/19/2011,12,1323.67
426,06/03/2011,17,47.44
427,5/25/2010,2,51.21
428,5/25/2010,20,2195.55
429,5/30/2009,30,3482.41
430,8/30/2012,43,683.46
431,12/16/2011,50,600.22
432,12/09/2009,9,64.0305
433,07/03/2012,49,8551.544
434,12/24/2010,2,291.66
435,5/17/2011,5,503.3275
436,01/11/2012,1,171.71
437,10/03/2011,39,1326.04
438,10/03/2011,22,3881.89
439,03/05/2010,1,17.89
440,03/05/2010,47,137.18
441,11/05/2011,48,617.26
442,11/05/2011,45,13104.992
443,01/05/2009,6,700.73
444,11/25/2010,28,667.55
445,04/08/2011,43,701.46
446,04/08/2011,19,53.94
447,04/08/2011,7,46.94
448,04/08/2011,20,77.99
449,3/31/2010,44,5735.79
450,03/10/2012,47,186.93
451,2/20/2009,41,241.1
452,2/20/2009,49,491.93
453,10/01/2009,10,623.71
454,11/01/2012,44,4263.9315
455,7/21/2011,10,2700.41
456,11/23/2010,20,1583.06
457,02/06/2010,21,756.6
458,01/04/2011,17,207.19
459,01/04/2011,8,88
460,08/02/2009,31,196.74
461,06/05/2010,21,471.24
462,08/02/2009,1,368.66
463,12/28/2010,14,2232.06
464,10/10/2012,7,387.17
465,04/02/2011,28,168.57
466,11/25/2009,50,413.86
467,11/25/2009,31,178.45
468,04/11/2012,1,2728.65
469,2/16/2010,13,735.54
470,9/24/2010,47,1060.0605
471,2/21/2009,39,199.39
472,2/21/2009,11,2770.35
473,11/11/2012,32,1882.12
474,11/11/2012,44,186.94
475,11/11/2012,12,407.2
476,10/27/2011,26,208.6
477,12/16/2009,29,778.38
478,05/07/2010,24,60.36
479,01/08/2011,36,1936.3
480,07/09/2012,4,14.23
481,07/09/2012,39,272.07
